Taxi1,Taxi2
6128,10249
2618,3015
8748,9778
226,5565
4440,5038
5071,8288
2958,3837
2930,8205
3818,8667
7467,8863
3785,6275
1359,3579
2135,3046
1109,9066
866,10062
7187,9223
3569,4930
1702,3918
5874,9551
7653,8464
1361,10041
2321,5653
2142,9852
366,8204
4501,4910
6275,9895
4745,5270
3884,9637
517,8373
3970,8657
2879,7112
3259,7333
6239,7205
5580,6071
6335,7667
3620,4114
9237,10292
7883,9865
6119,9732
293,4134
1012,3067
547,7434
406,7229
3644,5639
1443,5505
6166,8797
789,6967
1935,5967
10061,10180
223,1860
3740,6101
7098,9531
1931,8477
1783,2163
2306,8354
1153,8183
5143,5666
405,3594
6474,10081
7410,7551
4268,5439
4889,8001
722,2712
2833,4084
4908,5799
5935,9803
969,2589
7433,8474
8250,8696
1793,5510
4599,8427
676,4996
9234,9620
1832,4684
4139,5968
4414,8647
154,161
4443,7133
3579,4813
7741,9758
833,6865
2385,2389
236,8861
2512,8580
3916,7616
208,397
4812,6441
7014,9429
3600,9073
2669,5531
3877,5409
4560,4685
3942,5804
3870,4238
3099,4361
1325,3540
8662,9579
3558,8847
6113,7981
6333,10199
4466,9187
3401,8863
2976,3207
4526,9238
919,8487
1841,7779
5141,7821
843,3015
6512,8629
8119,8778
9063,10273
689,8964
7165,9948
8507,8860
6358,8162
2862,4798
6346,6647
5854,6939
5912,10327
131,1466
2560,4433
3955,6389
4335,5856
4615,8125
6790,7792
2074,7199
4164,9946
1554,4689
9109,9867
9893,9949
6963,9440
5127,9993
5502,9116
4005,9135
2849,7195
1768,6338
2878,5681
2767,8294
7796,8660
2818,4849
574,7297
1443,3545
3781,4142
6611,7453
1847,1908
5432,10225
976,4833
1131,1738
3997,5460
2593,5670
5454,8294
3682,4136
1875,9591
1567,9438
142,4607
6761,7397
1625,8662
2721,8299
2566,4224
2494,2658
8973,9575
1129,2796
7161,8270
2617,7195
153,8179
2837,2997
4762,7397
1271,5131
6200,6771
8347,10052
319,7128
219,9176
1931,6867
6358,7357
2454,2478
2560,10044
4699,7048
1266,7416
2135,3664
1837,7205
842,5368
1513,1631
334,6655
6120,7192
1980,5978
643,994
1830,7165
1133,4793
54,1353
6520,8065
1974,5409
1702,7919
2380,6851
675,3915
3839,4096
181,6790
3973,6540
1131,7349
4990,9075
544,8535
6552,9451
8474,8672
3257,4091
5172,8557
822,9977
762,3510
1295,6225
4609,9383
5827,9949
3033,9301
4304,8747
1087,4798
7260,8225
1372,7411
971,7067
2927,7370
4924,7674
4459,9789
1374,7457
6603,7137
834,3571
1503,3895
6790,9215
6128,10062
4927,4939
5729,6381
226,5378
25,1712
3793,6730
2643,4578
6569,6772
2393,3649
2401,8428
7218,8349
5659,7490
2326,5810
1827,1925
4848,8968
4378,9985
8418,9837
7050,9704
892,8063
2325,6339
1131,3161
3655,7146
6115,9426
420,1837
8511,9247
8201,8267
7198,9575
8323,9950
8256,8728
5085,5124
1726,8639
2086,2566
3651,6623
6791,8662
7134,7537
913,8536
5139,5360
4862,6772
6427,6665
3557,6961
1277,3336
5943,6094
1657,3557
2053,3557
7811,8462
1770,6652
3133,4189
4383,9174
3540,8485
3509,6166
6470,6742
5415,7106
3235,7849
5221,10273
2960,5924
1336,3916
8463,9556
7630,8801
1455,2295
2883,6643
7986,10156
6843,8421
6559,8662
8897,9259
7056,9468
4102,4401
1335,7828
2297,6519
5432,7460
3563,9785
3845,8717
3855,10159
3979,5499
2637,6587
6887,7969
3812,6325
6054,7214
1847,8942
1876,7428
976,5451
5890,6059
3725,7834
4658,5787
4052,9949
1041,3594
2596,9969
4430,8589
9354,9885
791,9835
4867,9344
2881,6166
4798,7295
7922,8801
221,3074
3648,8553
5611,10027
1557,7833
2534,6058
2995,4201
2675,4785
756,9999
249,2089
1131,9122
818,4461
1121,2018
1277,8947
1745,4851
3240,4005
5702,6358
10086,10184
2173,7018
6665,8657
24,2910
4325,4981
2544,2989
1179,9543
799,2906
5967,6814
986,4984
9945,9952
2517,4549
8463,8751
2608,3913
2164,6905
4481,8877
2723,4425
861,7167
3579,10237
6346,6810
8421,8525
6275,8098
7400,8473
960,7146
7015,8662
366,6407
5459,9232
1202,6679
1479,3015
7399,9002
3287,3420
5768,9987
2669,4539
5408,5480
1640,3872
2435,4143
4372,4396
1789,7378
4096,8662
10,2049
7446,8067
2038,3918
1563,5345
3421,8523
35,3799
2653,6665
1244,2367
5920,9977
7410,8787
5954,9561
1126,7973
1563,8728
1864,5458
2560,9857
6065,10331
3510,4781
2044,4113
5634,7112
1778,9821
4784,8662
6277,6989
1466,8014
4407,6460
1953,8132
1547,6690
468,3250
7146,7401
1493,9837
2018,6275
5961,6194
2731,7645
5465,8242
10261,10292
366,5602
77,5499
3967,8790
7456,8731
4834,8375
1971,4924
2313,8825
6327,6702
4773,10351
6703,9433
6113,6184
4492,7857
2384,10166
2350,4920
7174,9018
4932,8129
5450,9812
8838,8947
8499,9481
3717,4828
1817,7840
152,3579
1277,3954
3579,4894
5542,6368
3142,9057
3113,3401
7285,9788
941,1753
944,8440
2240,4001
1118,9559
2560,5669
3120,10207
7373,8854
5470,7431
2925,7487
549,4154
7250,9952
249,10278
215,5032
5593,9716
715,9519
1830,9206
2950,8483
8426,10292
6275,9521
5463,7391
2197,9939
2569,3129
4939,8145
3015,6599
8514,10112
1360,3026
1107,4832
8696,8840
1387,1439
1731,5413
1913,7147
3964,8468
4122,4890
165,1131
3067,3756
8349,8732
1131,6357
3557,9807
5052,8961
3961,7416
7101,9455
721,8179
1131,9740
2988,4402
1590,7810
1277,3149
1717,9837
2560,4864
996,7071
3233,7616
9404,10216
3609,3931
405,6603
3015,5444
3732,8468
392,4863
151,6686
2551,3997
2914,8021
4452,4593
486,8662
7919,7993
5964,7134
4443,6759
6626,9697
1258,4977
4151,6358
4177,5327
6613,8711
2669,5157
8605,8671
3872,4691
2313,3832
2318,4176
418,6434
1965,6532
2873,8370
1727,7118
1698,2216
1078,2508
4265,4393
1848,8576
7008,8459
793,9694
2371,4187
